date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-03-16,quickplay,Europe,all-maps,All,D.Va,TANK,9.7,46.2
2026-03-16,quickplay,Europe,all-maps,All,겐지,DAMAGE,9.6,50.2
2026-03-16,quickplay,Europe,all-maps,All,도미나,TANK,10.0,51.4
2026-03-16,quickplay,Europe,all-maps,All,둠피스트,TANK,7.4,48.8
2026-03-16,quickplay,Europe,all-maps,All,라마트라,TANK,7.6,49.5
2026-03-16,quickplay,Europe,all-maps,All,라이프위버,SUPPORT,9.8,47.0
2026-03-16,quickplay,Europe,all-maps,All,라인하르트,TANK,11.8,53.5
2026-03-16,quickplay,Europe,all-maps,All,레킹볼,TANK,3.0,49.4
2026-03-16,quickplay,Europe,all-maps,All,로드호그,TANK,9.9,48.6
2026-03-16,quickplay,Europe,all-maps,All,루시우,SUPPORT,8.1,52.8
2026-03-16,quickplay,Europe,all-maps,All,리퍼,DAMAGE,9.2,53.7
2026-03-16,quickplay,Europe,all-maps,All,마우가,TANK,6.3,51.9
2026-03-16,quickplay,Europe,all-maps,All,메르시,SUPPORT,23.9,48.4
2026-03-16,quickplay,Europe,all-maps,All,메이,DAMAGE,9.0,55.4
2026-03-16,quickplay,Europe,all-maps,All,모이라,SUPPORT,20.1,50.3
2026-03-16,quickplay,Europe,all-maps,All,미즈키,SUPPORT,19.9,53.8
2026-03-16,quickplay,Europe,all-maps,All,바스티온,DAMAGE,12.8,49.3
2026-03-16,quickplay,Europe,all-maps,All,바티스트,SUPPORT,5.3,45.6
2026-03-16,quickplay,Europe,all-maps,All,벤데타,DAMAGE,12.1,52.5
2026-03-16,quickplay,Europe,all-maps,All,벤처,DAMAGE,3.0,52.5
2026-03-16,quickplay,Europe,all-maps,All,브리기테,SUPPORT,4.6,53.0
2026-03-16,quickplay,Europe,all-maps,All,소전,DAMAGE,8.3,44.9
2026-03-16,quickplay,Europe,all-maps,All,솔저: 76,DAMAGE,14.5,49.1
2026-03-16,quickplay,Europe,all-maps,All,솜브라,DAMAGE,5.8,47.9
2026-03-16,quickplay,Europe,all-maps,All,시그마,TANK,8.8,51.8
2026-03-16,quickplay,Europe,all-maps,All,시메트라,DAMAGE,3.0,55.4
2026-03-16,quickplay,Europe,all-maps,All,아나,SUPPORT,21.5,46.2
2026-03-16,quickplay,Europe,all-maps,All,안란,DAMAGE,13.1,51.3
2026-03-16,quickplay,Europe,all-maps,All,애쉬,DAMAGE,13.4,49.8
2026-03-16,quickplay,Europe,all-maps,All,에코,DAMAGE,5.3,49.9
2026-03-16,quickplay,Europe,all-maps,All,엠레,DAMAGE,15.0,49.3
2026-03-16,quickplay,Europe,all-maps,All,오리사,TANK,9.5,46.8
2026-03-16,quickplay,Europe,all-maps,All,우양,SUPPORT,9.9,50.3
2026-03-16,quickplay,Europe,all-maps,All,위도우메이커,DAMAGE,9.8,45.2
2026-03-16,quickplay,Europe,all-maps,All,윈스턴,TANK,3.8,52.0
2026-03-16,quickplay,Europe,all-maps,All,일리아리,SUPPORT,9.0,52.8
2026-03-16,quickplay,Europe,all-maps,All,자리야,TANK,4.2,47.9
2026-03-16,quickplay,Europe,all-maps,All,정커퀸,TANK,4.4,52.7
2026-03-16,quickplay,Europe,all-maps,All,정크랫,DAMAGE,10.2,50.8
2026-03-16,quickplay,Europe,all-maps,All,제트팩 캣,SUPPORT,15.0,50.0
2026-03-16,quickplay,Europe,all-maps,All,젠야타,SUPPORT,11.7,54.7
2026-03-16,quickplay,Europe,all-maps,All,주노,SUPPORT,17.4,51.2
2026-03-16,quickplay,Europe,all-maps,All,캐서디,DAMAGE,15.4,47.8
2026-03-16,quickplay,Europe,all-maps,All,키리코,SUPPORT,23.9,47.3
2026-03-16,quickplay,Europe,all-maps,All,토르비욘,DAMAGE,4.4,57.3
2026-03-16,quickplay,Europe,all-maps,All,트레이서,DAMAGE,5.1,49.1
2026-03-16,quickplay,Europe,all-maps,All,파라,DAMAGE,4.7,52.5
2026-03-16,quickplay,Europe,all-maps,All,프레야,DAMAGE,6.1,44.8
2026-03-16,quickplay,Europe,all-maps,All,한조,DAMAGE,9.9,49.0
2026-03-16,quickplay,Europe,all-maps,All,해저드,TANK,3.6,51.3
2026-03-16,quickplay,Europe,nepal,All,D.Va,TANK,9.0,45.1
2026-03-16,quickplay,Europe,nepal,All,겐지,DAMAGE,10.1,49.2
2026-03-16,quickplay,Europe,nepal,All,도미나,TANK,9.1,52.0
2026-03-16,quickplay,Europe,nepal,All,둠피스트,TANK,8.1,49.0
2026-03-16,quickplay,Europe,nepal,All,라마트라,TANK,7.5,49.8
2026-03-16,quickplay,Europe,nepal,All,라이프위버,SUPPORT,9.3,45.5
2026-03-16,quickplay,Europe,nepal,All,라인하르트,TANK,11.5,53.5
2026-03-16,quickplay,Europe,nepal,All,레킹볼,TANK,3.0,47.2
2026-03-16,quickplay,Europe,nepal,All,로드호그,TANK,11.4,49.6
2026-03-16,quickplay,Europe,nepal,All,루시우,SUPPORT,10.0,53.4
2026-03-16,quickplay,Europe,nepal,All,리퍼,DAMAGE,10.8,54.4
2026-03-16,quickplay,Europe,nepal,All,마우가,TANK,6.4,52.7
2026-03-16,quickplay,Europe,nepal,All,메르시,SUPPORT,22.3,48.0
2026-03-16,quickplay,Europe,nepal,All,메이,DAMAGE,9.6,54.3
2026-03-16,quickplay,Europe,nepal,All,모이라,SUPPORT,22.1,51.6
2026-03-16,quickplay,Europe,nepal,All,미즈키,SUPPORT,20.4,52.9
2026-03-16,quickplay,Europe,nepal,All,바스티온,DAMAGE,12.7,50.7
2026-03-16,quickplay,Europe,nepal,All,바티스트,SUPPORT,5.1,46.3
2026-03-16,quickplay,Europe,nepal,All,벤데타,DAMAGE,13.1,51.5
2026-03-16,quickplay,Europe,nepal,All,벤처,DAMAGE,3.6,52.2
2026-03-16,quickplay,Europe,nepal,All,브리기테,SUPPORT,5.5,53.0
2026-03-16,quickplay,Europe,nepal,All,소전,DAMAGE,8.3,45.4
2026-03-16,quickplay,Europe,nepal,All,솔저: 76,DAMAGE,14.3,49.3
2026-03-16,quickplay,Europe,nepal,All,솜브라,DAMAGE,5.8,48.2
2026-03-16,quickplay,Europe,nepal,All,시그마,TANK,7.4,50.7
2026-03-16,quickplay,Europe,nepal,All,시메트라,DAMAGE,3.9,58.0
2026-03-16,quickplay,Europe,nepal,All,아나,SUPPORT,19.8,45.7
2026-03-16,quickplay,Europe,nepal,All,안란,DAMAGE,14.6,50.3
2026-03-16,quickplay,Europe,nepal,All,애쉬,DAMAGE,11.4,47.6
2026-03-16,quickplay,Europe,nepal,All,에코,DAMAGE,5.3,49.9
2026-03-16,quickplay,Europe,nepal,All,엠레,DAMAGE,14.1,49.3
2026-03-16,quickplay,Europe,nepal,All,오리사,TANK,9.8,46.7
2026-03-16,quickplay,Europe,nepal,All,우양,SUPPORT,9.7,49.7
2026-03-16,quickplay,Europe,nepal,All,위도우메이커,DAMAGE,5.6,42.4
2026-03-16,quickplay,Europe,nepal,All,윈스턴,TANK,3.7,51.7
2026-03-16,quickplay,Europe,nepal,All,일리아리,SUPPORT,8.2,53.2
2026-03-16,quickplay,Europe,nepal,All,자리야,TANK,4.5,47.6
2026-03-16,quickplay,Europe,nepal,All,정커퀸,TANK,4.6,53.0
2026-03-16,quickplay,Europe,nepal,All,정크랫,DAMAGE,11.4,52.0
2026-03-16,quickplay,Europe,nepal,All,제트팩 캣,SUPPORT,15.6,51.4
2026-03-16,quickplay,Europe,nepal,All,젠야타,SUPPORT,11.7,53.8
2026-03-16,quickplay,Europe,nepal,All,주노,SUPPORT,16.7,50.5
2026-03-16,quickplay,Europe,nepal,All,캐서디,DAMAGE,16.1,47.3
2026-03-16,quickplay,Europe,nepal,All,키리코,SUPPORT,23.6,47.3
2026-03-16,quickplay,Europe,nepal,All,토르비욘,DAMAGE,4.2,57.8
2026-03-16,quickplay,Europe,nepal,All,트레이서,DAMAGE,5.5,48.4
2026-03-16,quickplay,Europe,nepal,All,파라,DAMAGE,4.9,53.4
2026-03-16,quickplay,Europe,nepal,All,프레야,DAMAGE,5.7,44.4
2026-03-16,quickplay,Europe,nepal,All,한조,DAMAGE,9.1,48.8
2026-03-16,quickplay,Europe,nepal,All,해저드,TANK,3.9,52.1
2026-03-16,quickplay,Europe,lijiang-tower,All,D.Va,TANK,9.3,45.6
2026-03-16,quickplay,Europe,lijiang-tower,All,겐지,DAMAGE,10.3,49.9
2026-03-16,quickplay,Europe,lijiang-tower,All,도미나,TANK,9.1,51.3
2026-03-16,quickplay,Europe,lijiang-tower,All,둠피스트,TANK,10.0,49.1
2026-03-16,quickplay,Europe,lijiang-tower,All,라마트라,TANK,7.0,50.7
2026-03-16,quickplay,Europe,lijiang-tower,All,라이프위버,SUPPORT,9.4,46.0
2026-03-16,quickplay,Europe,lijiang-tower,All,라인하르트,TANK,11.5,54.1
2026-03-16,quickplay,Europe,lijiang-tower,All,레킹볼,TANK,3.8,48.1
2026-03-16,quickplay,Europe,lijiang-tower,All,로드호그,TANK,10.3,48.7
2026-03-16,quickplay,Europe,lijiang-tower,All,루시우,SUPPORT,12.9,54.5
2026-03-16,quickplay,Europe,lijiang-tower,All,리퍼,DAMAGE,10.6,54.5
2026-03-16,quickplay,Europe,lijiang-tower,All,마우가,TANK,6.1,51.8
2026-03-16,quickplay,Europe,lijiang-tower,All,메르시,SUPPORT,22.2,48.1
2026-03-16,quickplay,Europe,lijiang-tower,All,메이,DAMAGE,9.4,53.4
2026-03-16,quickplay,Europe,lijiang-tower,All,모이라,SUPPORT,21.0,51.3
2026-03-16,quickplay,Europe,lijiang-tower,All,미즈키,SUPPORT,20.2,53.7
2026-03-16,quickplay,Europe,lijiang-tower,All,바스티온,DAMAGE,12.4,48.7
2026-03-16,quickplay,Europe,lijiang-tower,All,바티스트,SUPPORT,4.8,44.1
2026-03-16,quickplay,Europe,lijiang-tower,All,벤데타,DAMAGE,13.1,52.0
2026-03-16,quickplay,Europe,lijiang-tower,All,벤처,DAMAGE,3.9,52.8
2026-03-16,quickplay,Europe,lijiang-tower,All,브리기테,SUPPORT,5.3,52.7
2026-03-16,quickplay,Europe,lijiang-tower,All,소전,DAMAGE,8.0,45.0
2026-03-16,quickplay,Europe,lijiang-tower,All,솔저: 76,DAMAGE,13.7,48.4
2026-03-16,quickplay,Europe,lijiang-tower,All,솜브라,DAMAGE,5.6,46.9
2026-03-16,quickplay,Europe,lijiang-tower,All,시그마,TANK,7.0,50.0
2026-03-16,quickplay,Europe,lijiang-tower,All,시메트라,DAMAGE,4.1,59.6
2026-03-16,quickplay,Europe,lijiang-tower,All,아나,SUPPORT,18.9,44.9
2026-03-16,quickplay,Europe,lijiang-tower,All,안란,DAMAGE,14.4,50.7
2026-03-16,quickplay,Europe,lijiang-tower,All,애쉬,DAMAGE,10.9,48.2
2026-03-16,quickplay,Europe,lijiang-tower,All,에코,DAMAGE,5.4,49.3
2026-03-16,quickplay,Europe,lijiang-tower,All,엠레,DAMAGE,13.7,49.2
2026-03-16,quickplay,Europe,lijiang-tower,All,오리사,TANK,9.8,48.2
