date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-05-17,quickplay,Americas,all-maps,All,D.Va,TANK,8.5,45.2,0.0
2026-05-17,quickplay,Americas,all-maps,All,겐지,DAMAGE,12.3,51.0,0.0
2026-05-17,quickplay,Americas,all-maps,All,도미나,TANK,11.6,51.9,0.0
2026-05-17,quickplay,Americas,all-maps,All,둠피스트,TANK,6.8,50.3,0.0
2026-05-17,quickplay,Americas,all-maps,All,라마트라,TANK,11.2,51.3,0.0
2026-05-17,quickplay,Americas,all-maps,All,라이프위버,SUPPORT,15.1,50.4,0.0
2026-05-17,quickplay,Americas,all-maps,All,라인하르트,TANK,10.2,53.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,레킹볼,TANK,2.8,50.0,0.0
2026-05-17,quickplay,Americas,all-maps,All,로드호그,TANK,7.8,46.4,0.0
2026-05-17,quickplay,Americas,all-maps,All,루시우,SUPPORT,7.4,51.2,0.0
2026-05-17,quickplay,Americas,all-maps,All,리퍼,DAMAGE,8.7,53.6,0.0
2026-05-17,quickplay,Americas,all-maps,All,마우가,TANK,6.7,50.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,메르시,SUPPORT,28.0,50.1,0.0
2026-05-17,quickplay,Americas,all-maps,All,메이,DAMAGE,6.9,52.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,모이라,SUPPORT,18.8,49.7,0.0
2026-05-17,quickplay,Americas,all-maps,All,미즈키,SUPPORT,13.1,52.3,0.0
2026-05-17,quickplay,Americas,all-maps,All,바스티온,DAMAGE,11.3,48.3,0.0
2026-05-17,quickplay,Americas,all-maps,All,바티스트,SUPPORT,5.3,46.9,0.0
2026-05-17,quickplay,Americas,all-maps,All,벤데타,DAMAGE,5.6,49.9,0.0
2026-05-17,quickplay,Americas,all-maps,All,벤처,DAMAGE,3.2,52.6,0.0
2026-05-17,quickplay,Americas,all-maps,All,브리기테,SUPPORT,6.9,54.5,0.0
2026-05-17,quickplay,Americas,all-maps,All,소전,DAMAGE,6.4,43.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,솔저: 76,DAMAGE,12.1,48.7,0.0
2026-05-17,quickplay,Americas,all-maps,All,솜브라,DAMAGE,5.0,47.5,0.0
2026-05-17,quickplay,Americas,all-maps,All,시그마,TANK,7.4,50.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,시메트라,DAMAGE,3.0,54.7,0.0
2026-05-17,quickplay,Americas,all-maps,All,시에라,DAMAGE,26.6,52.6,0.0
2026-05-17,quickplay,Americas,all-maps,All,아나,SUPPORT,28.0,46.6,0.0
2026-05-17,quickplay,Americas,all-maps,All,안란,DAMAGE,12.3,52.5,0.0
2026-05-17,quickplay,Americas,all-maps,All,애쉬,DAMAGE,11.2,49.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,에코,DAMAGE,6.0,48.9,0.0
2026-05-17,quickplay,Americas,all-maps,All,엠레,DAMAGE,9.6,47.1,0.0
2026-05-17,quickplay,Americas,all-maps,All,오리사,TANK,9.3,46.3,0.0
2026-05-17,quickplay,Americas,all-maps,All,우양,SUPPORT,9.4,50.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,위도우메이커,DAMAGE,6.9,45.4,0.0
2026-05-17,quickplay,Americas,all-maps,All,윈스턴,TANK,4.0,51.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,일리아리,SUPPORT,7.0,50.7,0.0
2026-05-17,quickplay,Americas,all-maps,All,자리야,TANK,4.5,47.2,0.0
2026-05-17,quickplay,Americas,all-maps,All,정커퀸,TANK,5.4,53.3,0.0
2026-05-17,quickplay,Americas,all-maps,All,정크랫,DAMAGE,10.8,51.4,0.0
2026-05-17,quickplay,Americas,all-maps,All,제트팩 캣,SUPPORT,9.1,48.7,0.0
2026-05-17,quickplay,Americas,all-maps,All,젠야타,SUPPORT,10.5,54.7,0.0
2026-05-17,quickplay,Americas,all-maps,All,주노,SUPPORT,20.7,50.8,0.0
2026-05-17,quickplay,Americas,all-maps,All,캐서디,DAMAGE,14.1,47.4,0.0
2026-05-17,quickplay,Americas,all-maps,All,키리코,SUPPORT,20.6,47.4,0.0
2026-05-17,quickplay,Americas,all-maps,All,토르비욘,DAMAGE,4.3,56.0,0.0
2026-05-17,quickplay,Americas,all-maps,All,트레이서,DAMAGE,5.8,49.2,0.0
2026-05-17,quickplay,Americas,all-maps,All,파라,DAMAGE,4.5,52.4,0.0
2026-05-17,quickplay,Americas,all-maps,All,프레야,DAMAGE,5.6,45.7,0.0
2026-05-17,quickplay,Americas,all-maps,All,한조,DAMAGE,7.8,48.9,0.0
2026-05-17,quickplay,Americas,all-maps,All,해저드,TANK,3.8,50.9,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,D.Va,TANK,8.2,44.6,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,겐지,DAMAGE,11.9,48.6,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,도미나,TANK,10.8,52.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,둠피스트,TANK,6.5,46.2,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,라마트라,TANK,11.7,51.3,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,라이프위버,SUPPORT,14.2,50.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,라인하르트,TANK,10.2,53.4,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,레킹볼,TANK,2.6,48.8,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,로드호그,TANK,7.4,48.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,루시우,SUPPORT,6.3,48.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,리퍼,DAMAGE,9.7,54.0,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,마우가,TANK,7.3,51.4,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,메르시,SUPPORT,26.8,49.6,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,메이,DAMAGE,8.2,53.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,모이라,SUPPORT,22.0,51.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,미즈키,SUPPORT,14.5,52.7,0.0
