date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-06-30,quickplay,Asia,all-maps,All,D.Va,TANK,6.8,45.0,0.0
2026-06-30,quickplay,Asia,all-maps,All,겐지,DAMAGE,8.6,51.0,0.0
2026-06-30,quickplay,Asia,all-maps,All,도미나,TANK,6.4,51.7,0.0
2026-06-30,quickplay,Asia,all-maps,All,둠피스트,TANK,9.3,51.1,0.0
2026-06-30,quickplay,Asia,all-maps,All,라마트라,TANK,7.0,48.8,0.0
2026-06-30,quickplay,Asia,all-maps,All,라이프위버,SUPPORT,8.2,48.7,0.0
2026-06-30,quickplay,Asia,all-maps,All,라인하르트,TANK,10.1,54.1,0.0
2026-06-30,quickplay,Asia,all-maps,All,레킹볼,TANK,3.6,49.8,0.0
2026-06-30,quickplay,Asia,all-maps,All,로드호그,TANK,6.5,45.7,0.0
2026-06-30,quickplay,Asia,all-maps,All,루시우,SUPPORT,4.8,49.7,0.0
2026-06-30,quickplay,Asia,all-maps,All,리퍼,DAMAGE,6.2,49.3,0.0
2026-06-30,quickplay,Asia,all-maps,All,마우가,TANK,8.0,49.0,0.0
2026-06-30,quickplay,Asia,all-maps,All,메르시,SUPPORT,7.6,45.7,0.0
2026-06-30,quickplay,Asia,all-maps,All,메이,DAMAGE,6.5,54.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,모이라,SUPPORT,20.9,53.2,0.0
2026-06-30,quickplay,Asia,all-maps,All,미즈키,SUPPORT,21.6,53.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,바스티온,DAMAGE,7.1,48.4,0.0
2026-06-30,quickplay,Asia,all-maps,All,바티스트,SUPPORT,4.7,46.5,0.0
2026-06-30,quickplay,Asia,all-maps,All,벤데타,DAMAGE,2.9,51.0,0.0
2026-06-30,quickplay,Asia,all-maps,All,벤처,DAMAGE,1.6,53.3,0.0
2026-06-30,quickplay,Asia,all-maps,All,브리기테,SUPPORT,3.6,50.6,0.0
2026-06-30,quickplay,Asia,all-maps,All,소전,DAMAGE,9.7,44.6,0.0
2026-06-30,quickplay,Asia,all-maps,All,솔저: 76,DAMAGE,10.0,47.8,0.0
2026-06-30,quickplay,Asia,all-maps,All,솜브라,DAMAGE,3.6,46.5,0.0
2026-06-30,quickplay,Asia,all-maps,All,시그마,TANK,10.6,52.8,0.0
2026-06-30,quickplay,Asia,all-maps,All,시메트라,DAMAGE,2.5,56.3,0.0
2026-06-30,quickplay,Asia,all-maps,All,시에라,DAMAGE,14.2,49.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,시온,DAMAGE,56.5,53.2,0.0
2026-06-30,quickplay,Asia,all-maps,All,아나,SUPPORT,38.5,46.2,0.0
2026-06-30,quickplay,Asia,all-maps,All,안란,DAMAGE,8.3,52.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,애쉬,DAMAGE,6.8,50.1,0.0
2026-06-30,quickplay,Asia,all-maps,All,에코,DAMAGE,2.8,49.0,0.0
2026-06-30,quickplay,Asia,all-maps,All,엠레,DAMAGE,5.6,47.0,0.0
2026-06-30,quickplay,Asia,all-maps,All,오리사,TANK,11.3,46.2,0.0
2026-06-30,quickplay,Asia,all-maps,All,우양,SUPPORT,12.2,51.7,0.0
2026-06-30,quickplay,Asia,all-maps,All,위도우메이커,DAMAGE,3.4,46.6,0.0
2026-06-30,quickplay,Asia,all-maps,All,윈스턴,TANK,5.6,51.5,0.0
2026-06-30,quickplay,Asia,all-maps,All,일리아리,SUPPORT,5.7,50.4,0.0
2026-06-30,quickplay,Asia,all-maps,All,자리야,TANK,7.7,50.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,정커퀸,TANK,3.0,53.1,0.0
2026-06-30,quickplay,Asia,all-maps,All,정크랫,DAMAGE,5.8,51.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,제트팩 캣,SUPPORT,5.7,49.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,젠야타,SUPPORT,11.1,54.1,0.0
2026-06-30,quickplay,Asia,all-maps,All,주노,SUPPORT,11.5,49.8,0.0
2026-06-30,quickplay,Asia,all-maps,All,캐서디,DAMAGE,16.0,46.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,키리코,SUPPORT,43.9,48.5,0.0
2026-06-30,quickplay,Asia,all-maps,All,토르비욘,DAMAGE,2.6,55.5,0.0
2026-06-30,quickplay,Asia,all-maps,All,트레이서,DAMAGE,4.8,48.1,0.0
2026-06-30,quickplay,Asia,all-maps,All,파라,DAMAGE,5.0,51.7,0.0
2026-06-30,quickplay,Asia,all-maps,All,프레야,DAMAGE,3.4,46.3,0.0
2026-06-30,quickplay,Asia,all-maps,All,한조,DAMAGE,6.2,49.9,0.0
2026-06-30,quickplay,Asia,all-maps,All,해저드,TANK,4.0,51.9,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,D.Va,TANK,5.6,44.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,겐지,DAMAGE,8.0,48.9,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,도미나,TANK,5.8,51.0,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,둠피스트,TANK,9.0,48.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,라마트라,TANK,7.5,49.1,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,라이프위버,SUPPORT,7.5,47.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,라인하르트,TANK,10.0,52.2,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,레킹볼,TANK,3.6,47.0,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,로드호그,TANK,6.3,46.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,루시우,SUPPORT,4.2,48.9,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,리퍼,DAMAGE,6.8,49.9,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,마우가,TANK,9.4,51.0,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,메르시,SUPPORT,6.5,45.1,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,메이,DAMAGE,8.1,54.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,모이라,SUPPORT,24.7,53.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,미즈키,SUPPORT,25.0,54.6,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,바스티온,DAMAGE,7.1,49.6,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,바티스트,SUPPORT,4.8,47.1,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,벤데타,DAMAGE,3.3,48.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,벤처,DAMAGE,1.7,50.2,0.0
